Mouse_ID,HI,Sex,infection_status,predicted_weight_loss,IFNy,CXCR3,IL.6,IL.13,IL1RN,CASP1,CXCL9,IDO1,IRGM1,MPO,MUC2,MUC5AC,MYD88,NCR1,PRF1,RETNLB,SOCS1,TICAM1,TNF,hybrid_category,group,UMAP1,UMAP2
AA0246,0.16,F,FALSE,6.41750594462225,-18.2204801370638,-16.0190710786374,-16.07755119558,-19.2528135265496,-15.4644178892599,-13.3338368455926,-18.2399727651036,-15.14769109464,-18.4389570307875,-16.108191225291,-17.7720064775027,-16.8374044370766,-14.6235888198893,-22.1806906786833,-17.3968311913948,-17.915832175658,-18.164034794189,-15.6585283954244,-17.6102767708275,Hybrid,F_FALSE,0.8862800714541179,-0.060200659620670116
AA0249,0,M,TRUE,13.735280909319,-15.171589133695,-12.2476326992838,-12.3193841667489,-16.1995213717543,-14.6337282855278,-12.238213780744,-12.9764738449539,-14.0479505618104,-14.9257838013674,-13.3900044467556,-14.8290900274988,-14.5440545682421,-13.1234265823178,-13.9163291894958,-17.2358110910205,-14.8024313235777,-15.9921638951419,-13.6360747674908,-12.860641954638,M.m.domesticus,M_TRUE,0.9080329005072472,2.1252950383473372
AA0250,0,M,FALSE,8.53805231096233,-16.1475040128085,-16.2504507406645,-19.4194242618673,-28.000185283898,-15.5043931946089,-18.095347275912,-25.8098292272294,-14.2379941479088,-18.255119987519,-15.6253209863776,-17.5241444449817,-16.521682975539,-14.4998977227315,-19.0353142091125,-17.9314550363989,-16.2990337837867,-19.4392206408425,-22.9222993853422,-17.4464815751658,M.m.domesticus,M_FALSE,2.441712444833989,0.9806830794305474
AA0251,0,F,FALSE,7.47142023658884,-17.7206098761493,-16.9350438206141,-23.3835671189635,-18.3428757821657,-16.4539930351867,-11.1763597424327,-16.8337086237058,-18.2499461516748,-15.7472222295755,-18.9051417933869,-15.2623706897614,-14.8784814083191,-14.9842642315624,-16.4206301891131,-16.9994428124965,-13.6527445230687,-16.9790366354494,-16.1465218089777,-17.2172215039401,M.m.domesticus,F_FALSE,1.8523368635372857,2.5274744750190234
AA0257,0,M,TRUE,11.43525452194,-18.9255871412853,-28.0364911505803,-17.584414627415,-20.4498769286588,-18.2560266851034,-27.9809111399681,-22.2343812760222,-19.0388546837706,-22.3238752823608,-19.9577090162558,-21.4513329850406,-20.523964642996,-16.377237685422,-17.0603472457288,-22.1965252038134,-20.3867105811857,-21.8947414249694,-20.2958776643761,-26.2607845858414,M.m.domesticus,M_TRUE,-0.9686983212358344,-3.650138459612003
AA0259,0.083333333,F,TRUE,13.5210836017438,-22.9262252955072,-25.7452535509764,-26.5270289217845,-17.9320617262431,-15.1594454986121,-27.9809111399681,-19.1881469236788,-17.2192711129524,-22.8873929232227,-25.9576702957614,-21.6373241246997,-25.8485264661949,-28.2160654642466,-21.4491677396601,-20.676128988161,-25.4483476650227,-21.6094803861389,-21.1420056346824,-22.2849611711401,M.m.domesticus,F_TRUE,-1.0444586552351514,-4.225981089338954
AA0260,0,F,TRUE,12.5604627540769,-14.1081890822222,-22.3525036885095,-21.7674352102714,-20.4498769286588,-14.5863670867556,-22.9567986306293,-21.8766419852637,-15.2538143396715,-25.9056679869932,-16.3243352410133,-22.2594012569539,-20.0201740847372,-21.5604928917643,-19.8291843026825,-16.7834362945237,-22.0808197392473,-28.2301581440799,-28.0082096213708,-18.6328769655121,M.m.domesticus,F_TRUE,-1.488755610620706,-2.894845488066312
AA0262,0,F,FALSE,12.374341608363,-14.5996044029746,-24.559612038948,-18.6139074704086,-19.5980441634982,-21.6416752893743,-24.9992866671455,-19.6133372414742,-19.7499376136836,-27.5347414086632,-22.7040956075458,-26.3579318065981,-27.0453134435081,-21.803637047617,-20.1554304602182,-19.5712755725932,-26.2848085468186,-28.9064727243877,-21.5152591766481,-19.2744831907934,M.m.domesticus,F_FALSE,-1.1141372782960632,-4.532418190363685
AA0271,0.666666667,F,FALSE,9.16046436109259,-18.6557840745294,-12.0038392827156,-18.8397720780455,-22.3371123680088,-14.6142477105695,-14.0815214107504,-18.0214571373205,-16.3098063605362,-12.8530337681565,-11.7813834578897,-12.7658547732187,-12.5457259783508,-9.78215127416992,-19.1175035325128,-14.7599530103599,-13.6076713455855,-13.0016443510751,-20.7155196412873,-14.3090837885373,Hybrid,F_FALSE,2.7161255655607555,1.7157969249981875
AA0274,0.666666667,F,FALSE,14.214147176021,-16.8976552350833,-24.0805280928487,-26.271795567956,-25.6635694833321,-28.9064727243877,-24.2316242410591,-25.5794023692475,-16.123402390978,-20.4080969027724,-25.2196474597284,-23.3571360486252,-20.4815795093306,-21.744676466414,-27.1682116567706,-18.0401490216527,-23.7298628778302,-19.549700843565,-22.0647515804463,-28.1791273860508,Hybrid,F_FALSE,-1.3896826093093442,-4.638352063338116
